Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C17,C_0805_2012Metric,C28233,1
100K,"R14,R17,R18,R19,R20,R21,R22,R23,R25,R26,R28,R29",R_0805_2012Metric,C122537,12
15K,R24,R_0805_2012Metric,C319846,1
1M,"R15,R16",R_0805_2012Metric,C218408,2
4.7K,R27,R_0805_2012Metric,C515732,1
75K,R10,R_0805_2012Metric,C319485,1
AO3400A MOSFET,Q8,SOT-23,C20917,1
D_Schottky,"D4,D5",D_SOD-123,C8598,2
LM4040,U10,SOT-23,C2156621,1
Conn_01x01,J4,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,,1
Conn_01x01,J6,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,,1
Conn_01x01,J5,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,,1
Battery,J2,PinSocket_1x02_P2.54mm_Vertical,,1
SW_SPDT,SW3,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,,1
