Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C17,0.1uF,C_0805_2012Metric,150.495,-92.456,180.0,top
D4,D_Schottky,D_SOD-123,154.432,-90.169,90.0,top
D5,D_Schottky,D_SOD-123,156.972,-90.169,-90.0,top
H1,MountingHole,MountingHole_2.2mm_M2_Pad,149.578264,-62.771386,0.0,top
H2,MountingHole,MountingHole_2.2mm_M2_Pad,167.401197,-62.750455,0.0,top
H3,MountingHole,MountingHole_2.2mm_M2_Pad,149.590802,-108.453302,0.0,top
H4,MountingHole,MountingHole_2.2mm_M2_Pad,167.386,-108.458,90.0,top
J2,Battery,PinSocket_1x02_P2.54mm_Vertical,157.988,-61.722,-90.0,top
J4,Conn_01x01,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,157.226,-84.074,0.0,top
J5,Conn_01x01,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,162.179,-108.585,90.0,top
J6,Conn_01x01,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,154.559,-108.585,90.0,top
Q8,AO3400A MOSFET,SOT-23,163.129,-89.1055,0.0,top
R10,75K,R_0805_2012Metric,160.147,-86.868,90.0,top
R14,100K,R_0805_2012Metric,158.369,-94.996,-90.0,top
R15,1M,R_0805_2012Metric,147.701,-75.311,90.0,top
R16,1M,R_0805_2012Metric,147.701,-68.945,-90.0,top
R17,100K,R_0805_2012Metric,162.052,-96.901,90.0,top
R18,100K,R_0805_2012Metric,151.257,-96.139,0.0,top
R19,100K,R_0805_2012Metric,151.257,-98.679,180.0,top
R20,100K,R_0805_2012Metric,154.686,-100.457,90.0,top
R21,100K,R_0805_2012Metric,151.352,-102.362,0.0,top
R22,100K,R_0805_2012Metric,151.368,-104.775,180.0,top
R23,100K,R_0805_2012Metric,161.417,-100.711,180.0,top
R24,15K,R_0805_2012Metric,161.417,-92.583,180.0,top
R25,100K,R_0805_2012Metric,165.1,-100.711,180.0,top
R26,100K,R_0805_2012Metric,168.529,-101.87,90.0,top
R27,4.7K,R_0805_2012Metric,150.368,-85.979,180.0,top
R28,100K,R_0805_2012Metric,164.973,-104.521,0.0,top
R29,100K,R_0805_2012Metric,155.067,-93.98,0.0,top
SW3,SW_SPDT,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,167.64,-90.583,90.0,top
U10,LM4040,SOT-23,150.495,-89.2025,0.0,top
