Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C1,C_0805_2012Metric,C28233,1
100,"R16,R17",R_0603_1608Metric,C22775,2
100K,"R10,R11,R12,R13,R14,R15,R20,R21,R4,R5,R6,R7,R8,R9",R_0805_2012Metric,C122537,14
1Meg,R22,R_0805_2012Metric,C445668,1
4.7K,R1,R_0805_2012Metric,C515732,1
AO3400A MOSFET,Q1,SOT-23,C20917,1
Buzzer,BZ1,Buzzer_Murata_PKLCS1212E,C113159,1
D_Schottky,"D1,D2",D_SOD-123,C8598,2
SK6812SIDE-A_C5378721,LED1,LED-SMD_4P-L4.0-W1.6-L,C5378721,1
TL431DBZ,U3,SOT-23,C8499,1
Conn_01x01,J1,SolderWirePad_1x01_SMD_1.5x3mm,,1
Battery,J4,PinHeader_1x02_P1.27mm_Vertical,,1
Conn_01x01,J5,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,,1
Conn_01x01,J2,SolderWirePad_1x01_SMD_1.5x3mm,,1
