Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_12x9.5RM7.6,166.243,-96.774,0.0,top
C1,0.1uF,C_0805_2012Metric,146.873,-97.155,180.0,top
D1,D_Schottky,D_SOD-123,144.907,-78.613,90.0,top
D2,D_Schottky,D_SOD-123,147.447,-78.613,-90.0,top
H1,MountingHole,MountingHole_2.2mm_M2_Pad,145.923,-66.802,0.0,top
H2,MountingHole,MountingHole_2.2mm_M2_Pad,170.561,-66.802,0.0,top
H3,MountingHole,MountingHole_2.2mm_M2_Pad,145.88347,-122.301,0.0,top
H4,MountingHole,MountingHole_2.2mm_M2_Pad,170.52147,-122.301,90.0,top
J1,Conn_01x01,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,153.18597,-120.015,90.0,top
J2,Conn_01x01,SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm,163.322,-120.015,90.0,top
J4,Battery,PinHeader_1x02_P1.27mm_Vertical,171.577,-82.804,180.0,top
J5,Conn_01x01,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,158.623,-87.884,0.0,top
J8,Conn_01x03_Pin,PinHeader_1x03_P1.27mm_Vertical,171.577,-87.376,0.0,top
JP1,Pin2_High,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,146.827,-88.138,180.0,top
JP2,Pin2_Gnd,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,146.812,-90.805,0.0,top
Q1,AO3400A MOSFET,SOT-23,151.13,-96.012,180.0,top
Q2,AO3400A MOSFET,SOT-23,170.749,-74.113,180.0,top
R1,4.7K,R_0805_2012Metric,147.828,-84.709,-90.0,top
R10,100K,R_0805_2012Metric,149.88397,-118.872,90.0,top
R11,100K,R_0805_2012Metric,167.132,-110.363,180.0,top
R12,100K,R_0805_2012Metric,171.196,-111.252,90.0,top
R13,100K,R_0805_2012Metric,171.196,-115.443,90.0,top
R14,100K,R_0805_2012Metric,169.037,-117.221,90.0,top
R15,100K,R_0805_2012Metric,166.751,-119.1025,90.0,top
R16,100,R_0805_2012Metric,169.672,-78.0015,90.0,top
R17,56K,R_0805_2012Metric,170.815,-70.8895,0.0,top
R18,22,R_0805_2012Metric,171.958,-78.0015,-90.0,top
R19,499K,R_0805_2012Metric,152.42397,-110.363,0.0,top
R2,4.7K,R_0805_2012Metric,157.988,-95.123,90.0,top
R20,499K,R_0805_2012Metric,144.78,-71.9055,90.0,top
R21,499K,R_0805_2012Metric,146.939,-71.9055,90.0,top
R22,1Meg,R_0805_2012Metric,157.861,-110.363,0.0,top
R23,4.7K,R_0805_2012Metric,157.988,-98.679,-90.0,top
R3,200K,R_0805_2012Metric,162.56,-110.363,0.0,top
R4,75K,R_0805_2012Metric,152.019,-89.5585,-90.0,top
R5,56K,R_0805_2012Metric,150.175,-99.949,180.0,top
R6,100K,R_0805_2012Metric,148.61397,-110.363,0.0,top
R7,100K,R_0805_2012Metric,145.43897,-111.252,90.0,top
R8,100K,R_0805_2012Metric,145.43897,-114.935,90.0,top
R9,100K,R_0805_2012Metric,147.59797,-116.967,90.0,top
SW1,SW_DIP_x04,SW_DIP_SPSTx04_Slide_KingTek_DSHP04TS_W7.62mm_P1.27mm,151.003,-105.283,180.0,top
U3,TL431DBZ,SOT-23,146.812,-94.0585,0.0,top
