reference,value,manufacturer_part_number,stocked_alternative,inventory_match,inventory_sheet_row,historical_quantity,footprint,purpose,datasheet
J1,CONTROL / ADC,Generic 1x10 2.54mm vertical header,,Not found in purchase history,,,Devboard:PinHeader_1x10_P2.54mm_Vertical,Rev C: 3.3V only; pin7 NC (formerly 5V); current output is no longer divided,
R1,100R,RNCF0805DTE100R,,Exact MPN,123,50,Devboard:R_0805_2012Metric,Series input damping,
R2,75k / 0.1%,ERA-6AEB753V,,Exact MPN,139,50,Devboard:R_0805_2012Metric,Default OFF; stocked ERA-6AEB753V,
R3,100R,RNCF0805DTE100R,,Exact MPN,123,50,Devboard:R_0805_2012Metric,Series input damping,
R4,75k / 0.1%,ERA-6AEB753V,,Exact MPN,139,50,Devboard:R_0805_2012Metric,Default OFF; stocked ERA-6AEB753V,
U1,SI8751AB-IS,SI8751AB-IS,,Exact MPN,90,10,Devboard:SOIC-8_3.9x4.9mm_P1.27mm,One isolated gate driver per MOSFET,https://www.skyworksinc.com/-/media/SkyWorks/SL/documents/public/data-sheets/Si8751-2.pdf
C1,100n / 25V,CL21B104KACNNNC,,Exact MPN,17,200,Devboard:C_0805_2012Metric,Place beside driver VDD / GND,
R5,10k,RN73H2ATTD1002B25,,Exact MPN,121,50,Devboard:R_0805_2012Metric,TT=10k: 9V minimum unloaded gate output; qualify actual VGS under load,
C3,10p / 1kV,C0805C100JDGACTU,,Not found in purchase history,,,Devboard:C_0805_2012Metric,0805 C0G 1kV; qualify dV/dt <=600V/us for 6mA MCAP limit,
Q1,STP12N60M2,STP12N60M2,,Not found in purchase history,,,Devboard:TO-220-3_Vertical,600V NMOS; RDSon specified at 10V; qualify VGS and dissipation on prototype,https://www.st.com/resource/en/datasheet/stp12n60m2.pdf
U2,SI8751AB-IS,SI8751AB-IS,,Exact MPN,90,10,Devboard:SOIC-8_3.9x4.9mm_P1.27mm,One isolated gate driver per MOSFET,https://www.skyworksinc.com/-/media/SkyWorks/SL/documents/public/data-sheets/Si8751-2.pdf
C2,100n / 25V,CL21B104KACNNNC,,Exact MPN,17,200,Devboard:C_0805_2012Metric,Place beside driver VDD / GND,
R6,10k,RN73H2ATTD1002B25,,Exact MPN,121,50,Devboard:R_0805_2012Metric,TT=10k: 9V minimum unloaded gate output; qualify actual VGS under load,
C4,10p / 1kV,C0805C100JDGACTU,,Not found in purchase history,,,Devboard:C_0805_2012Metric,0805 C0G 1kV; qualify dV/dt <=600V/us for 6mA MCAP limit,
Q2,STP12N60M2,STP12N60M2,,Not found in purchase history,,,Devboard:TO-220-3_Vertical,600V NMOS; RDSon specified at 10V; qualify VGS and dissipation on prototype,https://www.st.com/resource/en/datasheet/stp12n60m2.pdf
J2,SOURCE,691311400102,,Not found in purchase history,,,Devboard:Wuerth_691311400102_P7.62mm,"Wuerth 691311400102, 7.62mm; feed through external appropriately rated <=1A fuse",
J3,LOAD,691311400102,,Not found in purchase history,,,Devboard:Wuerth_691311400102_P7.62mm,Switched line / unswitched return; resistive loads initially,
U6,ACS725LLCTR-05AB-T,ACS725LLCTR-05AB-T,,Not found in purchase history,,,Devboard:SOIC-8_3.9x4.9mm_P1.27mm,3.3V supply; 264mV/A nominal; zero-current output VCC/2; isolated series current conductor,https://www.allegromicro.com/-/media/files/datasheets/acs725-datasheet.ashx
C15,100n / 25V,CL21B104KACNNNC,,Exact MPN,17,200,Devboard:C_0805_2012Metric,ACS VCC bypass,
C16,1u / 50V,CL21B105KBFNNNE,,Exact MPN,15,100,Devboard:C_0805_2012Metric,ACS VCC bulk,
C17,100n / 25V,CL21B104KACNNNC,,Exact MPN,17,200,Devboard:C_0805_2012Metric,Internal 1.8k plus 100n: approximately 884Hz pole,
C18,1n / 50V,C0805C102K5HACAUTO,,Exact MPN,14,120,Devboard:C_0805_2012Metric,Direct output load; total output capacitance <=10nF and DC load >=4.7k; qualify host ADC settling,
